,ASSETID,PERIOD,PRICE,UNITPRICE,ADTYPOLOGYID,ADOPERATIONID,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_CASTELLANA,LONGITUDE,LATITUDE,CITYNAME,ADTYPOLOGY,ADOPERATION
10511,A13381078669950562638,201803,288000,3945.20547945206,HOME,SALE,73,1,1,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,1.0,1979,6,21,3.0,1,0,0,3.359662442068754,0.4115796956052854,2.072092551210856,-3.66900631919418,40.4021201509432,Madrid,HOME,SALE
41678,A11926612649805860138,201806,436000,4688.17204301075,HOME,SALE,93,3,2,1,1,1,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2018.0,1.0,1.0,2018,3,8,4.0,0,0,1,3.585535889380389,0.3753839128575438,1.5717394883154836,-3.67029975879362,40.4362749734533,Madrid,HOME,SALE
27711,A579808016368653424,201812,195000,2267.44186046512,HOME,SALE,86,3,1,1,1,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1972.0,6.0,1.0,1972,8,16,5.0,0,0,1,6.871965729301818,0.9957247264201166,6.279397623607085,-3.76716882460616,40.3781049709915,Madrid,HOME,SALE
68906,A11006452839513260278,201806,445000,3531.74603174603,HOME,SALE,126,3,2,0,1,1,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1996.0,1.0,1.0,1996,8,110,3.0,0,0,1,2.513956090989915,0.2828217147866811,1.065758151668442,-3.68124824379912,40.4019135357364,Madrid,HOME,SALE
74631,A12503674616504384560,201812,704000,4266.66666666667,HOME,SALE,165,4,2,1,1,0,3,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1970.0,7.0,2.0,1970,9,67,4.0,0,1,0,2.834443409314015,0.2736848466162386,2.112730630719472,-3.71667638942342,40.4400868571519,Madrid,HOME,SALE
11248,A7311633675205605408,201803,249000,2964.28571428571,HOME,SALE,84,3,2,0,1,0,3,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1960.0,1.0,1.0,1960,9,37,4.0,0,0,1,4.055901303103721,0.4613160818094856,2.21941553186245,-3.66242222765975,40.4349149726363,Madrid,HOME,SALE
51988,A17528166504399422519,201812,357000,7933.33333333333,HOME,SALE,45,1,1,1,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1960.0,,1.0,1960,8,17,5.0,0,0,1,3.2260976766771385,0.0521796822117534,1.3457897889051078,-3.67267523002778,40.4332881975629,Madrid,HOME,SALE
81071,A16531289697675533607,201812,78000,1114.28571428571,HOME,SALE,70,3,2,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1973.0,0.0,1.0,1973,5,16,6.0,0,0,1,5.574711314337124,0.2928949510713751,4.247597246221802,-3.63924321219294,40.4262436328218,Madrid,HOME,SALE
29862,A5875630164181868104,201809,98000,1324.32432432432,HOME,SALE,74,3,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1970.0,3.0,1.0,1970,4,18,6.0,0,0,1,5.640836538596679,2.131704186960539,3.017677200759419,-3.666718873667,40.374511470145,Madrid,HOME,SALE
41404,A6047930952892998504,201812,342000,7434.78260869565,HOME,SALE,46,1,1,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,1.0,,1986,4,30,3.0,0,0,1,0.717958206613053,0.3032137650291163,0.7838963076103747,-3.70123858108665,40.4227400698524,Madrid,HOME,SALE
